id,username,text,timestamp
1,agoodliff23,OKMezQigjVpfYCXyLEsUNrlZJIaDqHGxmBPFTWwhctndkSvAub,2021-12-04 09:25:54
2,erobez1i,CinvoVXSswNHgEPzpQRFkOBWDfLaKqYGyIlbhtTxuedZcjJmAr,2021-04-19 23:53:15
3,sturfes0,XVFpzdIlDHfigokEaATJORBbqmjuycGenNvwWhUPrSMCYsLZtx,2021-08-18 22:09:45
4,jyapp1z,BnHvzsMOLWkJoCXqVEefiTKjRdhbgFZcyuUatmlGQNIDAwxSrP,2021-04-18 23:52:46
5,egill1d,ZVQAMcYXUEywCrfsOeiaWuKoqJtHnRdNzhpjLTPxmgkBGDvSlb,2021-07-22 08:07:36
6,cambagek,zPbsgVqMfdUrwypFXLklDtTuIhivJxOZWEBRYamHCNKGecjnAQ,2021-08-11 05:21:55
7,bmacculloch1p,whlUSbGVKrmONDknRBHLWpdZzAexcFTPYIfqCuijEsQygMoJta,2021-05-09 16:49:36
8,cgrimwad1o,IhwzUuLKHqmYklEaAOynfWVQjdpFcsJeDNXgGPMxRSZtvTbiro,2021-01-19 12:34:03
9,cambagek,JMuIZeSxvnGqKojPhENYlCWBUiLOpFVQmkRgdbfrzATwHtyacD,2021-03-25 11:44:14
10,fzuenelli26,YMLnvOGwrQdyhIaEJxKBefbHlcFtUokASpNPiqZsXmRgWzujTV,2021-04-18 12:40:12
11,cchatb,AHEFchgYwWXBINndUyqCpJOVzSufZTiLrbvmPQDasRlteMGKok,2020-12-18 18:15:23
12,brunnett1k,sDaEqvgxrVZSMoPzcfOBpYjLeGnbJkdQUNXCuRlhWHTyKFwtiI,2021-04-07 05:32:11
13,egill1d,tNcsragybpxUORezSkiXwWqVdvEhoQBYulDCIfAGKjJTmZPMnF,2021-10-19 05:40:37
14,gwoan10,VduJcNhZbCFWDvBxjmrLIOgXHPpteyiQElTnksYowSGqKRAfUa,2021-02-05 18:37:56
15,yflemmich2c,wdsPEtHveZQGSnWRzTAqrKYIObchfFkjDugJVyaUMmBplioXNL,2020-11-28 03:51:23
16,hputtergill2m,mstgSGybkevAxMVPYZRQdjCWpzihaoJEwuFUHDBnNKXILrTclq,2021-03-23 22:41:12
17,akrishtopaittis4,TYneWyoDlcMRPpZrVdNqmXfLgawjBOiQEFUvACJhHtuIGKsbkz,2020-10-19 18:04:09
18,fharridayg,XZHylhCSONqtQoDcVPgRFkJEprGmUxfKzMnavLWubdYwsjBTAI,2021-04-07 06:36:19
19,nmurty2a,YyVdHthBOPTuZmApIvKMqwSDgNreGJnjkoXUFsaRcEWLizxQbf,2021-05-02 07:16:12
20,spatinkin1h,vxhTVekCFEgbLUwrXIZpJymtYdPQlfSusiAMHzRBjnNaDoqGWO,2020-12-18 17:46:48
21,spatinkin1h,ZnHevEusQjXqFwcapkVxImAKPWNoirfbBytlMCGROLgDJTdUYh,2021-06-30 12:44:46
22,sturfes0,LdnSNyqEovUBFDVGcYxlwWmRkirQPajJCHXIAtThZsfebOgupK,2021-02-24 19:03:16
23,fmcpeeters2,JsDpufPeYSbOXlmjiztqEIKvLWkTrVcHZRhgdnQMGNCBoUyAFw,2020-11-05 04:48:42
24,mfuller2h,dQhpXFwUkzPlaEeGSKuryAtCvfsqOLWMYRmZHJcojTNVxnbDig,2021-01-09 08:13:18
25,dtebald1a,eQuwljxmFbHOtUNYRIGPaprDBShqKLndWiVvzCJATEcfXZykoM,2021-12-17 13:50:55
26,erobez1i,elauqDgvsfpJyNZxYXkUIrFmzTbKPHVMoWRdwGABOtChLncEjS,2021-10-26 10:21:34
27,mboarleyson27,AUpZgOuwXvFzRiKPVQyjfkdDLHTnYomSBxJWEMtrCGqNsahcbI,2021-05-28 04:37:20
28,mboarleyson27,YsEtAWwkvZjUbxnurORpQcLGPoqdVNXfTFzmyKCBighHlDaJSM,2021-05-25 03:16:43
29,sturfes0,RwLCxdqlfBoOrsnvUbWiZIyDNzPFgJQjmGcMVYapEKTAktHheu,2021-02-18 21:10:10
30,dcarriageo,IPZyFgvqzDYmrRphsEclAokxMGjnBbOJdTaWSiVCLeKuwtNHXU,2020-12-21 21:11:45
31,apadilla29,EjnKSLayOVwtmZTfiPuDCWNrXRzJIbAUBFsvYHGgMclkohxdQq,2021-02-19 04:15:11
32,klethibridge6,dXRAGoThwzHEOksjPQcnxpmvBUlqCJMZfaLKiVWtbDrFuNSyYg,2020-12-13 05:40:30
33,fharridayg,QeGFzjxnuIhiCsRMpaJtZYyrWVXEkfSPvDBlmqHNOAoKLgdTbw,2021-04-23 18:39:49
34,drouchw,cNFefXIgyCZahJDRKtBpmwExOonHUlYAQjqLPWzuisTdrvSVMG,2021-09-29 03:36:41
35,cnoadn,cQLybGUelmMRPrdZoIOkBAVYguXqzThKHxpFvNDtiJjwsfWECS,2021-01-27 15:30:34
36,dtebald1a,qzFuEYJjpfHXStiNBeaUhKMwsTVIGmPWcRdkyZbxArnCDgOloQ,2021-06-26 13:00:46
37,aharsnipe1w,ePQymIJvFxaKDBwWRinOGhqYSfjrAETUpXHgdLtuCzbskZNloM,2021-10-22 20:14:04
38,dcantor1x,DCJQiKRuOctThkLnIvjAXpaqsoUFMPSZElgYHfWbBVdxmNwGzy,2021-05-11 19:50:00
39,aharsnipe1w,mviznShFCotrxwypLWYTJGagsflcAkMjQEHPeVRdNbUIKXuDOZ,2021-05-11 13:08:14
40,imacgillicuddyv,MtkGfpzZqOxdYhmDasAFKQTyvRibBWcHPCoJwjlUNeuIVnXSrE,2021-10-23 14:52:45
41,fpuleque2o,lkxRJbTQDNdCuZjwoSVtaOLBXqrhMyUeHzPmIgnfAYpcEiKsFv,2021-08-10 04:31:56
42,jyapp1z,CidotBhlKwgvWjxupqnSGJyrTkNEIbZDXQMcUsHVafLAPRYezm,2021-11-11 13:50:27
43,bbyatt1q,FYTpCPGNJmsDXrfxaihwzgqobBLKIAcZEtWdSQvOMeVUlnkHju,2020-11-12 06:32:19
44,cchatb,gHtIlukDXARrGZMWoEjmTVayspnOCzKUvNLYJibcQSfehwxFdq,2021-02-07 09:21:08
45,agoodliff23,VZiQUGdFBLEYJSWsuPoqRkXyMbrcgAhtDzxIjlOpnNCaTfHwev,2021-10-15 12:45:53
46,fharridayg,brtYMiaSLdGBKpQfzTUNmEDhosyOevRnWZqXxPgkFAljIcHVCJ,2021-12-18 14:01:26
47,ppotts17,bEcVIZGgpYmCMTKuvrwPeHsNxWtqhRJXjdDlaFLOQynkfoUiBz,2021-03-25 07:24:29
48,bcoffelta,UDWMKLYQuJbFVngCrSzXlHsIEPexwRaZBvoNpOGqihfcjATdty,2020-10-06 06:59:53
49,syegorchenkov21,jQzlOXLREYyBgNdUTtrGxsiDfCeKkJWbMPFvchunIamHZwVqSp,2020-11-19 19:43:53
50,cchatb,meBQEFGhKogRtuxTXcCwvIYOLPizyNJlWqfjbsZrDUakHAVnMp,2020-10-20 15:24:49
